source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
3834531786663896320,149.7434665311034,1.0042742906286397,1.680464987009074,1.8777349271130124,,,18.68204,2.6271248,,,NOT_AVAILABLE,,
3834528213252047616,149.8112485502251,8.925646557725987,1.6320567075578893,16.175750967263916,,,20.868793,2.3379784,,,NOT_AVAILABLE,,
3834717088732763136,149.45504281215062,0.7818089089133603,1.7281580266908256,0.9218521327777224,0.8488005576200479,0.6704179527697341,19.72971,0.61725616,,,NOT_AVAILABLE,,
3834738018108246272,149.4303021827254,0.13114468271803142,1.9234914132422853,0.2402312066678675,2.490455145297643,0.08763799227257241,12.487361,0.8728676,61.33818707611235,1.6715308055389575,NOT_AVAILABLE,5518.0,0.2935
3834738018108246400,149.4237891398465,0.05323737422629124,1.9207889593642071,0.04810957134457634,1.0055864278011837,0.059905185666775225,10.820587,1.2932739,-25.526678176389492,0.6670581952599021,NOT_AVAILABLE,4709.0,0.2197
3834723445284385792,149.57789536171782,0.45286352689432957,1.7971560475059356,0.3969938850850781,0.4369724307757158,0.5245266585946055,19.195747,0.70446014,,,NOT_AVAILABLE,,
3834717088732762752,149.45789368973874,0.7783242856210912,1.7268809916514365,1.0319146350202253,,,19.071827,2.2382946,,,NOT_AVAILABLE,,
3834722036535112448,149.62740545112834,1.6988652653834817,1.796036549113936,1.6145990636004648,,,18.738491,1.9250774,,,NOT_AVAILABLE,,
3834526568278365952,149.7594159393957,1.1124578222501642,1.5962656894183858,2.1396341344283485,,,18.76144,1.8466187,,,NOT_AVAILABLE,,
3834525709284906624,149.78120221090472,0.12019926848624463,1.5672106586168977,0.12625410821365932,0.1821790430748686,0.18289199149178795,17.382616,0.80680275,,,NOT_AVAILABLE,,
3834531786663896832,149.74492731514704,0.7755494946198012,1.685228693949441,1.443912071104893,,,18.459618,0.6832962,,,NOT_AVAILABLE,,
3834724304277846656,149.4476841841516,0.5744053251854669,1.8024644812430968,0.6961272132738205,0.32019501226147,0.5081897287926413,19.406805,2.3107262,,,NOT_AVAILABLE,,
3834526877516010496,149.7698061412956,0.3623382910113482,1.6088481147939269,0.35564473303411837,0.7158431456757566,0.5332303347681694,19.130287,1.1518898,,,NOT_AVAILABLE,,
3834524227521825024,149.53919461099557,3.490934083077312,1.5923130441096074,5.9436831599208,,,20.662233,0.6008606,,,NOT_AVAILABLE,,
3834525674925168000,149.7936020944698,0.053575094114682136,1.5630438740164831,0.05729243861109448,0.6082734588343577,0.08056779780793195,15.941979,0.7655134,,,NOT_AVAILABLE,6111.6665,0.0405
3834531305627560448,149.6844397903575,0.42233456764856414,1.6917570060465434,0.371845701574495,0.3458607534414735,0.5081569764494533,19.318092,1.5053139,,,NOT_AVAILABLE,,
3834526911875748352,149.7754012504109,0.8877897152573879,1.6192466449801672,1.7110980229231922,,,18.388626,1.6416588,,,NOT_AVAILABLE,,
3834726404516309632,149.5181158056868,6.329825356772985,1.8710486757381726,11.548387793730825,,,18.986034,,,,NOT_AVAILABLE,,
3834531236908083968,149.65608361806605,0.3754879879646731,1.694585883513497,0.3502889564592597,-0.8518433286273118,0.40157921484425113,18.964622,1.030796,,,NOT_AVAILABLE,,
3834719596993659520,149.58143241697152,1.6191957071105052,1.7138364896987117,2.155211942335279,,,20.201551,1.9082737,,,NOT_AVAILABLE,,
3834723136046727040,149.49838470449035,0.1901374463606109,1.7565773557141198,0.19153970392452732,0.2879629143310845,0.18493504773989772,17.738209,1.2310429,,,NOT_AVAILABLE,,
3834718914093419520,149.6493096862265,2.3125328201954884,1.6988008878794094,3.240217526110938,,,20.557428,2.1769905,,,NOT_AVAILABLE,,
3834720391562462592,149.58975923061757,0.15214908381595624,1.7613951372803098,0.1221486663783975,0.20084613950824828,0.17730622894856304,17.432106,0.73404884,,,NOT_AVAILABLE,,
3834719188971619456,149.62609110946826,0.031109465065269477,1.718803541352589,0.025720613039004376,0.22848353069969832,0.04005610197782331,13.05666,1.221158,,,NOT_AVAILABLE,5010.0,0.353
3834515126485484928,149.9091839727745,7.139339853602775,1.569778842676883,12.726822124395646,,,20.233465,1.7507935,,,NOT_AVAILABLE,,
3834526602638103424,149.78262939331267,0.06942482608831688,1.5921249837365343,0.07671005451496278,0.4494630210017118,0.1031835287226807,16.260727,0.9018431,,,NOT_AVAILABLE,5484.0,0.318
3834726404516676608,149.51832900564997,0.08029609448202545,1.871176226309177,0.07812813779808771,1.1756806894252037,0.09829886050061426,15.950653,1.6185293,,,NOT_AVAILABLE,4387.0,1.5658
3834738774022536192,149.55100822063451,33.473128992558074,1.9294213440403518,64.36970722825885,,,20.812803,2.5680523,,,NOT_AVAILABLE,,
3834531855383374464,149.77764338624075,0.9235391448841417,1.6945752644381502,1.721085862379979,,,18.642656,0.58621216,,,NOT_AVAILABLE,,
3834719360770310656,149.6301909719024,0.07912187053493949,1.7364554876260743,0.06299538812557091,0.714164189563985,0.09941047107355236,16.154486,1.1582651,,,NOT_AVAILABLE,4904.0,0.5345
3834717986380819840,149.43039732245424,1.2053347795733032,1.7545817961660128,1.1140857096934969,,,17.351625,1.3587942,,,NOT_AVAILABLE,,
3834720151044292608,149.62293744914035,0.17580049676680048,1.7625207701484908,0.14438058048494895,0.7461997203235364,0.209566067074323,17.62263,1.3416805,,,NOT_AVAILABLE,,
3834723685802556800,149.5392391150155,0.693711424328089,1.8031815382730474,0.9692404994437819,,,18.854675,2.128214,,,NOT_AVAILABLE,,
3834515023406270592,149.89061262432568,0.07654329052115563,1.5606203103492773,0.07991233383242999,0.20012219399951023,0.11026982784225417,16.35285,0.6889286,,,NOT_AVAILABLE,6269.69,
3834719326410571904,149.64247328207725,0.02931803952142222,1.73368711708103,0.02434511527973983,2.5583224410458616,0.03774789131160325,13.091103,0.98638535,,,NOT_AVAILABLE,5372.3335,0.209
3834528488129009536,149.79298207039625,0.3334530583843718,1.6550459307852625,0.3218999224357983,1.0735014123617774,0.5008108597249548,19.184465,2.0421848,,,NOT_AVAILABLE,,
3834515298284177664,149.87385316948493,0.46643490200239734,1.5722549394738252,0.5356834920972455,-1.014144095487847,0.6949440315317545,19.403574,0.8235798,,,NOT_AVAILABLE,,
3834515435722875520,149.89369600145665,3.94455428086343,1.5964498763012376,7.584951965948798,,,20.187765,2.838585,,,NOT_AVAILABLE,,
3834722758089597440,149.5126242695912,0.4682472320232799,1.7369706583670768,0.4835690761251206,1.7498433482646414,0.4102521271511467,19.031914,1.894455,,,NOT_AVAILABLE,,
3834719532569005952,149.5449859004678,0.05112958304526115,1.705230830624173,0.04636556591457548,0.5218472083973442,0.05833776798290811,14.845584,0.9737406,,,NOT_AVAILABLE,5158.0,
3834720559066343296,149.69215906902437,0.6390925777967237,1.7408611179193338,0.5366679890727094,-1.5651666118775234,0.989607515301863,19.767788,0.83376503,,,NOT_AVAILABLE,,
3834523510261637248,149.6006047970017,0.03540002647287384,1.5605056585198254,0.04104489082375508,1.2043777010697387,0.03961584262021209,14.76021,0.92729187,,,NOT_AVAILABLE,5433.25,0.017
3834721177541649536,149.72790879006385,0.6562036848618747,1.7852414688554266,0.6208102898585666,0.1586237524928279,0.9779644173414747,19.647402,0.7020836,,,NOT_AVAILABLE,,
3834515607521818880,149.9625561375262,0.09592841007209453,1.6034494486563553,0.09018890571113704,0.642287321486928,0.12767112373396422,17.069696,1.0756397,,,NOT_AVAILABLE,,
3834739250765033728,149.4722944983413,0.1515795711568511,1.918626649644916,0.17503520390097715,3.9056534438518855,0.16402621126440375,17.5643,2.4746456,,,NOT_AVAILABLE,,
3834719356475499264,149.62843615513492,0.570908976732955,1.7379006071302674,0.5063232925264622,1.9465251252079712,0.6860408728204684,19.414757,2.0778847,,,NOT_AVAILABLE,,
