Ra (deg),Dec (deg),Modulus (deg),angle (rad),x_err (deg),y_err (deg)
150.42395076374262,2.2717802967183083,6.437899058852752e-06,-0.5909978683659246,5.3459353921425645e-06,-3.5871324306491204e-06
150.5881857094845,2.2324396922088297,3.520548528917396e-06,0.9395814427609398,2.0775671600858914e-06,2.8421781506082766e-06
150.28283050579,1.7893124921934602,5.329610498819349e-06,0.9566146073199697,3.071401124543627e-06,4.3555990634214226e-06
150.46686667141105,2.224815434245111,2.4221793013966457e-06,1.1874785408351958,9.058939269834809e-07,2.246399065430893e-06
149.85248362610758,1.8097775527065556,2.39081341971199e-06,0.5840543464795873,1.994497608848178e-06,1.3183201796884703e-06
150.6833062842924,2.3319519505476562,6.847781781857533e-06,-0.019862932876871516,6.8464309777027665e-06,-1.3600808612679316e-07
150.53435024437044,1.6221784198309517,3.2990343887386766e-06,0.19523573087570836,3.236359219727092e-06,6.400053897959168e-07
150.7948128084517,2.476762566826122,4.7219815261917725e-06,0.15857402429605968,4.6627370124951995e-06,7.456494390822854e-07
150.6172754614977,1.9908484847055532,1.2789817863632788e-06,0.9574214399106583,7.36220812314059e-07,1.0458361847653919e-06
150.71691526395142,2.0479024306955864,3.3136398770450457e-06,0.06664247589515768,3.306284298787432e-06,2.2066574345558365e-07
150.6108230890065,2.4634247040227515,1.4595838407199105e-06,1.0869527407823207,6.789765052417351e-07,1.2920433016816446e-06
150.78993068224665,2.293874949355548,1.2740907197077354e-05,-0.5567618884709342,1.0816656981660344e-05,-6.732803869535786e-06
150.1170817679632,2.077727814782806,6.37122464030517e-06,1.0014278685271412,3.434728768070272e-06,5.366110482185604e-06
150.5663648977572,1.9193680178923886,3.598615819586367e-06,0.11586937393755364,3.5744858450925676e-06,4.160369697636668e-07
150.2867788723284,1.9328955610119747,5.009791559706302e-06,0.01483674881299723,5.009240169329132e-06,7.43262920099852e-08
150.7685929207561,2.474656488972721,5.242451739896846e-06,0.06971797362024858,5.2297161801106995e-06,3.6519709833982006e-07
150.65438156269283,2.06109290166323,2.038711394287925e-06,0.44282053519830833,1.8420709295696724e-06,8.735667345050047e-07
150.48507371403153,2.2049423039321443,3.5243430416006607e-06,1.991522029239373,-1.4394226752756367e-06,3.2169949077953675e-06
150.2084640699408,1.9462772772037282,7.376845617813323e-06,1.568195006852175,1.9189513977835304e-08,7.3768206587665475e-06
150.3772393710099,2.037742217898029,2.2259444976440043e-06,1.4284671464247727,3.1574828085467743e-07,2.2034363911238586e-06
150.0735106528007,1.605722152629516,4.801587842319546e-06,0.839982641590428,3.2049434537384514e-06,3.5754137195365132e-06
150.68237068677433,2.147827267399985,2.966744107563163e-06,-0.015222974225214365,2.9664003591278743e-06,-4.5160924777576383e-08
150.75907832763636,2.280433751973543,6.568813722940039e-06,-0.026571441577274937,6.5664949318033905e-06,-1.745223117133321e-07
150.08328110640704,1.6121103432364507,4.285582591433853e-06,1.02938503867034,2.208557646099507e-06,3.672668140719537e-06
150.2434531768179,1.6136260647535754,6.8100805979628055e-06,1.8399161001680902,-1.8106846368937113e-06,6.564953838106291e-06
150.15522420320022,1.911382140176067,6.8535581371179425e-06,0.31088389783587017,6.525022939740666e-06,2.0965053719734783e-06
150.64663027964787,1.9461731791441497,1.9958059423566794e-06,0.78626776344679,1.410020161074499e-06,1.4124746032795343e-06
150.7359912179119,2.2211264555348613,5.671083799569925e-06,-0.41423207028930187,5.191455699105063e-06,-2.2825378827029397e-06
150.59384002970936,1.9489759470836292,3.960382621741566e-06,0.39009481676782326,3.6628509860747727e-06,1.5060388987020445e-06
150.50670148397185,2.240024636903199,3.0538217334462387e-07,1.622416504122946,-1.575688202137826e-08,3.049753964923241e-07
150.6668265700809,2.061124427208149,2.126787779027859e-06,0.26838199141029584,2.050651346507948e-06,5.639639280019537e-07
150.3338354199474,2.257553708505473,4.718432237091807e-06,-0.016137217312004837,4.71781788746739e-06,-7.61390617221025e-08
150.67819703794612,2.1870414208436193,4.054058429574947e-06,0.18196810606318628,3.987123648130364e-06,7.336448493155956e-07
150.4501987378087,2.2293200979552905,6.199080083573891e-06,1.5994858235459952,-1.778240914518392e-07,6.196529066748724e-06
150.3007526348629,2.175390527857955,7.0575875046628875e-06,0.29002719666705734,6.762835113249821e-06,2.0183167781517852e-06
150.45482563483824,2.0578392171525777,1.1817740985280055e-06,1.5566649452584111,1.669954485805647e-08,1.181656102744455e-06
150.663124284066,2.163277918668774,2.3689269834416257e-06,0.333445134990767,2.2384473368219915e-06,7.7535061304701e-07
150.09775139774732,1.5999928875195364,4.566865207775481e-06,0.5140060088409084,3.976743414568773e-06,2.2453885277773367e-06
150.1090248133412,1.9460097607899138,6.7644170144958794e-06,0.4033492870693085,6.221583078058757e-06,2.655040781007756e-06
150.07902076616512,1.56747181811738,4.374046929013819e-06,1.2217986308026696,1.495732021794538e-06,4.110361572440269e-06
150.63599608298705,2.188052955709921,2.5925483415430177e-06,-0.3754627989514536,2.4119462693761307e-06,-9.506955858107347e-07
150.46060776220858,1.6045850097058443,2.8348717855683987e-06,0.5537984466577156,2.4111519394409697e-06,1.4909206436097833e-06
150.7365402308075,2.2326978658754775,1.0250384942415598e-05,-0.5594630364608858,8.687613473057354e-06,-5.44019885762026e-06
150.58122914666592,1.6610953125824115,3.1327161771951913e-06,0.08766519442129021,3.120686130841932e-06,2.7427854387696016e-07
150.52553006397702,1.6972900536717048,4.083887955377374e-06,0.9824188914160756,2.2666069696697377e-06,3.397150817541217e-06
150.73747791048064,2.133628705010542,3.367510194456449e-06,0.030989057214630335,3.3658933773494937e-06,1.043392643396146e-07
150.3736249536426,2.1120235849507107,3.065868710807222e-06,1.2859752681876144,8.614653381755488e-07,2.942350832757512e-06
150.63753241117416,2.2161779676861983,2.776203002741741e-06,0.7569554371744417,2.018105561774064e-06,1.9064503806731636e-06
150.35303792088396,2.1804245094737964,3.5580176954527607e-06,0.8185614347254088,2.4310949413575145e-06,2.597935200743251e-06
150.6054615842888,2.004057870602211,3.90968110262252e-06,0.0946449949068821,3.892183343623401e-06,3.69479558059993e-07
150.67707237567924,2.139808964371377,4.461302512648258e-06,-0.8349921891900802,2.9943525134967786e-06,-3.307124602169864e-06
150.02525123497946,1.6113476333033272,4.970113152051029e-06,1.408908023021879,8.010933072455373e-07,4.9051273436351295e-06
150.7903163571544,1.899624609415867,4.058104316163655e-06,0.04804524576211528,4.053421463368068e-06,1.948976171561867e-07
150.45323556914337,2.261402123227962,4.564944147198394e-06,0.5970357772257063,3.7752348873709707e-06,2.566382008239998e-06
150.38537875446102,2.0737987254613954,5.011004825971873e-06,1.5832386347599094,-6.23468565663643e-08,5.010616951572899e-06
150.32566333228485,2.2546931096119147,4.434973371944135e-06,0.05247980541783993,4.428867526939939e-06,2.3263971860032484e-07
150.7612350171023,1.89725222253324,2.065254421301044e-06,-0.26803516137481176,1.9915106292955898e-06,-5.469563402193955e-07
150.63040769406115,2.033007005913175,1.603466109898951e-06,1.9489355472387433,-5.919865202486108e-07,1.490186406272187e-06
149.93231377234787,1.727604597541106,4.4276196083525924e-06,0.08553195345947569,4.411433877749005e-06,3.7824137599784535e-07
150.62030456312647,1.5750692039013008,3.7773628089937575e-06,0.01255440984148792,3.777065131771451e-06,4.7421315096940475e-08
150.08063417001637,1.7739979860694497,3.4355814358859675e-06,0.011960925494163561,3.435335685253449e-06,4.109175377742247e-08
150.495268314364,1.8221818152420903,4.915396337026167e-06,0.4118568538479582,4.504366387436676e-06,1.967690168136471e-06
150.61679140691982,2.2440780546110166,2.011799509068275e-06,1.2546161911864426,6.25545567345398e-07,1.9120747913881075e-06
150.37281680433605,2.200168798460518,3.692007138598079e-06,0.5321254629611962,3.1815156376069353e-06,1.8731991242582069e-06
150.0970915140111,1.6369271872404392,3.5825154981369022e-06,2.157907117272273,-1.984562914003618e-06,2.9826041196834296e-06
150.48822899058757,2.235099961668062,4.6502905926723e-06,1.5160773441891195,2.5433220685044944e-07,4.643330456133299e-06
150.39410396266285,2.1774184897571014,3.4224036025739895e-06,0.9094250753672566,2.102038763496239e-06,2.7007923755206775e-06
150.17179630075168,1.9462918674701064,5.50544753447157e-06,0.3222424791834796,5.2220690633930644e-06,1.743544450816259e-06
150.72233947428398,2.1116038324197492,3.3569339279714963e-06,-0.027165810892913495,3.3556953269453516e-06,-9.118261612428569e-08
150.61173091453162,2.2471805589893172,2.940939578721891e-06,0.6732129887405826,2.299292447105472e-06,1.8336793199402734e-06
